interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,version
TGFB1_TGFBR1_TGFBR2,TGFb,TGFB1,TGFBR1;TGFBR2,FST;THBS1,LEFTY1;LEFTY2;INHBA;INHBB;INHBC;INHBE;FMOD;DCN;LTBP1;EMILIN1,,BAMBI,Secreted Signaling,CellChatDB v1
TGFB2_TGFBR1_TGFBR2,TGFb,TGFB2,TGFBR1;TGFBR2,FST;THBS1,LEFTY1;LEFTY2;INHBA;INHBB;INHBC;INHBE;FMOD;DCN;LTBP1;EMILIN1,,BAMBI,Secreted Signaling,CellChatDB v1
TGFB3_TGFBR1_TGFBR2,TGFb,TGFB3,TGFBR1;TGFBR2,FST;THBS1,LEFTY1;LEFTY2;INHBA;INHBB;INHBC;INHBE;FMOD;DCN;LTBP1;EMILIN1,,BAMBI,Secreted Signaling,CellChatDB v1
TGFB1_ACVR1B_TGFBR2,TGFb,TGFB1,ACVR1B;TGFBR2,FST;THBS1,LEFTY1;LEFTY2;INHBA;INHBB;INHBC;INHBE;FMOD;DCN;LTBP1;EMILIN1,,BAMBI,Secreted Signaling,CellChatDB v1
TGFB1_ACVR1C_TGFBR2,TGFb,TGFB1,ACVR1C;TGFBR2,FST;THBS1,LEFTY1;LEFTY2;INHBA;INHBB;INHBC;INHBE;FMOD;DCN;LTBP1;EMILIN1,,BAMBI,Secreted Signaling,CellChatDB v1
TGFB2_ACVR1B_TGFBR2,TGFb,TGFB2,ACVR1B;TGFBR2,FST;THBS1,LEFTY1;LEFTY2;INHBA;INHBB;INHBC;INHBE;FMOD;DCN;LTBP1;EMILIN1,,BAMBI,Secreted Signaling,CellChatDB v1
TGFB2_ACVR1C_TGFBR2,TGFb,TGFB2,ACVR1C;TGFBR2,FST;THBS1,LEFTY1;LEFTY2;INHBA;INHBB;INHBC;INHBE;FMOD;DCN;LTBP1;EMILIN1,,BAMBI,Secreted Signaling,CellChatDB v1
TGFB3_ACVR1B_TGFBR2,TGFb,TGFB3,ACVR1B;TGFBR2,FST;THBS1,LEFTY1;LEFTY2;INHBA;INHBB;INHBC;INHBE;FMOD;DCN;LTBP1;EMILIN1,,BAMBI,Secreted Signaling,CellChatDB v1
TGFB3_ACVR1C_TGFBR2,TGFb,TGFB3,ACVR1C;TGFBR2,FST;THBS1,LEFTY1;LEFTY2;INHBA;INHBB;INHBC;INHBE;FMOD;DCN;LTBP1;EMILIN1,,BAMBI,Secreted Signaling,CellChatDB v1
TGFB1_ACVR1_TGFBR1,TGFb,TGFB1,ACVR1;TGFBR1;TGFBR2,,,,,Secreted Signaling,CellChatDB v1
